Year,Y,x_actual_max,x_avg,x_wind,x_soil_max
2017,54,46,39,3.1,49
2016,52,59,44,3,58
2015,75,58,44,2.1,61
2014,55,50,39,3.4,51
2013,60,71,59.5,7.2,60
2012,48,69,50,9.3,53
2011,39,54,46,11.9,45
2010,40,67,50,9.6,45
2009,49,52,43,4.7,51
2008,72,62,43,4,41
2007,79,66,52,4.8,52
2006,71,66,52,5,51
2005,50,56,45.5,9,53
2004,56,72,52,10.5,53
2003,52,53,42,3.7,43
2002,46,52,44.5,6.2,47
2001,57,70,54,5.1,50
2000,66,70,55.5,1.8,55
1998,72,63,43.5,0.8,53
1997,59,63,47.5,4,49
1995,46,67,48.5,5.7,47
1994,55,49,40.5,1.5,52
1993,54,54,40,43,47
1992,84,78,63,9.3,53
1991,46,49,36,7.3,44
1990,46,46,37.5,3.3,50
1989,51,49,40,4.8,50
1988,59,64,47.5,7.1,54
1987,80,82,62.5,4.3,62
1986,59,48,37.5,4.2,48
1985,76,64,49.5,2.1,50
